Rank,State,2016,% of Nation
1, California,2602672,14.10
2, Texas,1616801,8.76
3, New York,1487998,8.06
4, Florida,926817,5.02
5, Illinois,791608,4.29
6, Pennsylvania,724936,3.93
7, Ohio,625715,3.39
8, New Jersey,581122,3.15
9, Georgia,525360,2.85
10, North Carolina,517904,2.81
11, Massachusetts,507913,2.75
12, Virginia,494349,2.68
13, Michigan,487239,2.64
14, Washington,469739,2.55
15, Maryland,378280,2.05
16, Indiana,341909,1.85
17, Minnesota,335147,1.82
18, Tennessee,328770,1.78
19, Colorado,323692,1.75
20, Wisconsin,309536,1.68
21, Arizona,302952,1.64
22, Missouri,300891,1.63
23, Connecticut,263379,1.43
24, Louisiana,235109,1.27
25, Oregon,226821,1.23
26, South Carolina,209716,1.14
27, Alabama,204861,1.11
28, Kentucky,197043,1.07
29, Oklahoma,182937,0.99
30, Iowa,178766,0.97
31, Utah,156352,0.85
32, Kansas,153258,0.83
33, Nevada,147475,0.80
51, District of Columbia,126815,0.69
34, Arkansas,120689,0.65
35, Nebraska,115345,0.62
36, Mississippi,107680,0.58
37, New Mexico,93297,0.51
38, Hawaii,83917,0.45
39, New Hampshire,77855,0.42
40, West Virginia,73374,0.40
41, Delaware,70387,0.38
42, Idaho,67275,0.36
43, Maine,59275,0.32
44, Rhode Island,57433,0.31
45,  North Dakota,52089,0.28
46, Alaska,50713,0.27
47, South Dakota,48139,0.26
48, Montana,45994,0.25
49, Wyoming,37858,0.21
50, Vermont,31092,0.17
